PMID,DOI,First_Author,Year,Title,Journal,Journal_Abbrev,Publication_Type,Original_Domain_Group,Domain_Searches,AI_Decision,Analytic_Set_Decision,Initial_Human_Audit_Decision,Abstract_Availability,Abstract_Informed_Decision,Decision_Reconciliation,Final_Domain_Group,Abstract_Informed_Rationale
33374461,10.3390/s21010072,Valiuskaite V,2020,Deep Learning Based Evaluation of Spermatozoid Motility for Artificial Insemination.,"Sensors (Basel, Switzerland)",Sensors (Basel),Journal Article,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
32538428,10.1093/humrep/deaa109,Zeadna A,2020,Prediction of sperm extraction in non-obstructive azoospermia patients: a machine-learning perspective.,"Human reproduction (Oxford, England)",Hum Reprod,"Journal Article; Research Support, Non-U.S. Gov't",Andrology,male_infertility; semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
33246195,10.1016/j.compbiomed.2020.104121,Abbasi A,2021,Effect of deep transfer and multi-task learning on sperm abnormality detection.,Computers in biology and medicine,Comput Biol Med,"Journal Article; Research Support, Non-U.S. Gov't",Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
33904010,10.1007/s10815-021-02198-x,Bormann CL,2021,Deep learning early warning system for embryo culture conditions and embryologist performance in the ART laboratory.,Journal of assisted reproduction and genetics,J Assist Reprod Genet,Journal Article,Andrology,semen_analysis,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Andrology,"Abstract confirms AI/automation in IVF laboratory quality control, but the clinical task is embryo-culture/ART laboratory management rather than urology or male reproductive health."
34316227,10.4103/jhrs.jhrs_26_21,Shemshaki G,2021,"Assessment and Establishment of Correlation between Reactive Oxidation Species, Citric Acid, and Fructose Level in Infertile Male Individuals: A Machine-Learning Approach.",Journal of human reproductive sciences,J Hum Reprod Sci,Journal Article,Andrology,male_infertility,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
37145615,10.1097/UPJ.0000000000000202,Wang HS,2021,A Machine Learning Model to Maximize Efficiency and Face Time in Ambulatory Clinics.,Urology practice,Urol Pract,Journal Article,Andrology,erectile_dysfunction; functional_urology,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Governance,Abstract and metadata support the original human Include decision.
34092528,10.1016/j.euo.2021.05.006,Jobczyk M,2022,Deep Learning-based Recalibration of the CUETO and EORTC Prediction Tools for Recurrence and Progression of Non-muscle-invasive Bladder Cancer.,European urology oncology,Eur Urol Oncol,"Journal Article; Research Support, Non-U.S. Gov't",Andrology,andrology_broad; bladder_cystoscopy,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Bladder Cancer,Abstract and metadata support the original human Include decision.
37462961,,Kai J,2022,[Artificial intelligence-based fluorescence method versus traditional flow cytometry in detection of sperm DNA fragmentation index].,Zhonghua nan ke xue = National journal of andrology,Zhonghua Nan Ke Xue,English Abstract; Journal Article,Andrology,andrology_broad; semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
36502045,10.3390/s22239344,Sng CMN,2022,Wearable Soft Microtube Sensors for Quantitative Home-Based Erectile Dysfunction Monitoring.,"Sensors (Basel, Switzerland)",Sensors (Basel),Journal Article,Andrology,erectile_dysfunction,INCLUDE,EXCLUDE,UNCERTAIN,AVAILABLE,EXCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_UNCERTAIN_AS_EXCLUDE,Andrology,"Erectile-dysfunction sensor study is in scope clinically, but the abstract describes sensor mechanics and home monitoring without an AI/ML component."
35869867,10.1111/andr.13238,Zhang X,2022,Identifying neuroimaging biomarkers for psychogenic erectile dysfunction by fusing multi-level brain information: A resting-state functional magnetic resonance imaging study.,Andrology,Andrology,"Journal Article; Research Support, Non-U.S. Gov't",Andrology,andrology_broad; erectile_dysfunction,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
37236418,10.1016/j.fertnstert.2023.05.157,Cherouveim P,2023,Artificial intelligence for sperm selection-a systematic review.,Fertility and sterility,Fertil Steril,Journal Article; Systematic Review,Andrology,male_infertility; semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
36637586,10.1007/s10815-023-02713-2,Curchoe CL,2023,Assuring quality in assisted reproduction laboratories: assessing the performance of ART Compass - a digital art staff management platform.,Journal of assisted reproduction and genetics,J Assist Reprod Genet,Journal Article,Andrology,andrology_broad,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Andrology,"Abstract describes a digital ART staff-management platform and future AI integration, not a current AI/ML urology or male-reproductive application."
37046855,10.3390/healthcare11070929,GhoshRoy D,2023,Unboxing Industry-Standard AI Models for Male Fertility Prediction with SHAP.,"Healthcare (Basel, Switzerland)",Healthcare (Basel),Journal Article,Andrology,male_infertility,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
37880723,10.1186/s12944-023-01950-9,Huang Y,2023,Association between polyunsaturated fatty acid intake and the prevalence of erectile dysfunction: A cross-sectional analysis of the NHANES 2001-2004.,Lipids in health and disease,Lipids Health Dis,Journal Article,Andrology,erectile_dysfunction,INCLUDE,INCLUDE,EXCLUDE,AVAILABLE,CONFIRM_INCLUDE,ABSTRACT_REVIEW_RECLASSIFIED_EXCLUDE_AS_INCLUDE,Andrology,Abstract explicitly reports machine-learning analysis in an erectile-dysfunction NHANES study.
36810139,10.7554/eLife.83662,Liu H,2023,Development and evaluation of a live birth prediction model for evaluating human blastocysts from a retrospective study.,eLife,Elife,Journal Article,Andrology,semen_analysis,INCLUDE,EXCLUDE,EXCLUDE,AVAILABLE,EXCLUDE,AGREE,Andrology,Abstract describes AI for blastocyst/live-birth prediction in IVF; this is embryology/ART rather than male reproductive health.
37307892,10.1016/j.fertnstert.2023.06.009,Lustgarten Guahmich N,2023,Improving outcomes of assisted reproductive technologies using artificial intelligence for sperm selection.,Fertility and sterility,Fertil Steril,Journal Article; Review,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
37705466,10.1080/14647273.2023.2256980,Si K,2023,Application of artificial intelligence in gametes and embryos selection.,"Human fertility (Cambridge, England)",Hum Fertil (Camb),Journal Article; Review,Andrology,semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
38652944,10.1016/j.rbmo.2024.103910,Goss DM,2024,Evaluation of an artificial intelligence-facilitated sperm detection tool in azoospermic samples for use in ICSI.,Reproductive biomedicine online,Reprod Biomed Online,Journal Article,Andrology,male_infertility; semen_analysis,INCLUDE,INCLUDE,CONFIRM_INCLUDE,AVAILABLE,CONFIRM_INCLUDE,AGREE,Andrology,Abstract and metadata support the original human Include decision.
