Use_Case,Study,Title,PMID,DOI,In_Analytic_Set,Counted_in_Publication_Totals,Design,Centres,Prospective,Clinician_Comparator,External_or_Multicentre_Validation,Workflow_Implementation,Patient_or_Economic_Endpoint,Principal_Limitation,Study_Supported_Stage,Stage_Criterion_Supported,Comparator_Type,Use_Case_Final_Stage
AI-assisted sperm selection for ICSI,"Goss DM et al., 2024",Evaluation of an artificial intelligence-facilitated sperm detection tool in azoospermic samples for use in ICSI.,38652944,10.1016/j.rbmo.2024.103910,Yes,Yes,Laboratory evaluation study,Single-centre laboratory cohort,No,No,No,No,No,No convincing implantation or live-birth outcome evidence,2,S2_INTERNAL_CLINICAL_VALIDATION,NONE_STAGE_RELEVANT,4
AI-assisted sperm selection for ICSI,"Carrion-Sisternas L et al., 2025",Automated AI for real-time sperm selection in ICSI: reducing variability and studying the role of sperm in embryo development.,41299699,10.1186/s12958-025-01479-9,Yes,Yes,Observational real-time workflow study,Single-centre workflow cohort,Yes,Yes,No,No,No,No convincing implantation or live-birth outcome evidence,4,S4_PROSPECTIVE_OR_INTENDED_SETTING_FEASIBILITY,AI_ALONE_VS_CLINICIAN,4
Clinician-reviewed patient-message response support,"Robinson EJ et al., 2024","Physician vs. AI-generated messages in urology: evaluation of accuracy, completeness, and preference by patients and physicians.",39729119,10.1007/s00345-024-05399-y,Yes,Yes,Comparative evaluation of AI-generated communication,Single-centre,No,Yes,No,No,No,Single-centre comparative evidence without workflow implementation or external validation,2,S2_INTERNAL_CLINICAL_VALIDATION,AI_ALONE_VS_CLINICIAN,2
ED and sexual-function outcome prediction,"Agochukwu-Mmonu N et al., 2022",Development and Validation of Dynamic Multivariate Prediction Models of Sexual Function Recovery in Patients with Prostate Cancer Undergoing Radical Prostatectomy: Results from the MUSIC Statewide Collaborative.,35638089,10.1016/j.euros.2022.03.009,Yes,Yes,Development and validation cohort study,Multicentre statewide collaborative,No,No,Yes,No,Yes,External validation and prospective workflow testing remain limited,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
ED and sexual-function outcome prediction,"Hasannejadasl H et al., 2023",Development and external validation of multivariate prediction models for erectile dysfunction in men with localized prostate cancer.,36867616,10.1371/journal.pone.0276815,Yes,Yes,Development and external validation study,Development cohort plus external validation cohort,No,No,Yes,No,Yes,External validation and prospective workflow testing remain limited,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
Functional urology and neurourology prediction,"Wang HS et al., 2021",Pattern recognition algorithm to identify detrusor overactivity on urodynamics.,33205846,10.1002/nau.24578,Yes,Yes,Diagnostic pattern-recognition study,Single-centre,No,No,No,No,No,Noisy phenotypes and sparse prospective evaluation,2,S2_INTERNAL_CLINICAL_VALIDATION,NONE_STAGE_RELEVANT,3
Functional urology and neurourology prediction,"Welk B et al., 2024",Identifying Bladder Phenotypes After Spinal Cord Injury With Unsupervised Machine Learning: A New Way to Examine Urinary Symptoms and Quality of Life.,38626440,10.1097/JU.0000000000003984,Yes,Yes,Unsupervised phenotyping study,Observational cohort,No,No,No,No,Yes,Noisy phenotypes and sparse prospective evaluation,2,S2_INTERNAL_CLINICAL_VALIDATION,NONE_STAGE_RELEVANT,3
Functional urology and neurourology prediction,"Werneburg GT et al., 2024",External Validation Demonstrates Machine Learning Models Outperform Human Experts in Prediction of Objective and Patient-reported Overactive Bladder Treatment Outcomes.,39242047,10.1016/j.urology.2024.08.071,Yes,Yes,External validation study with expert comparison,External validation cohort,No,Yes,Yes,No,Yes,Noisy phenotypes and sparse prospective evaluation,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_ALONE_VS_CLINICIAN,3
Male infertility and sperm-retrieval prediction,"Ory J et al., 2022",Artificial Intelligence Based Machine Learning Models Predict Sperm Parameter Upgrading after Varicocele Repair: A Multi-Institutional Analysis.,35021305,10.5534/wjmh.210159,Yes,Yes,Predictive cohort study,Multi-institutional,No,No,Yes,No,No,Large harmonized outcome datasets remain scarce,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
Male infertility and sperm-retrieval prediction,"Xi Y et al., 2026",Machine learning-based personalized prediction of sperm retrieval in patients with non-obstructive azoospermia prior to microdissection testicular sperm extraction: A multi-center cohort study.,40916621,10.1111/andr.70114,Yes,Yes,Predictive cohort study,Multicentre,No,No,Yes,No,Yes,Large harmonized outcome datasets remain scarce,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
Micro-ultrasound lesion localization,"Zhou SR et al., 2025",ProMUS-NET: Artificial intelligence detects more prostate cancer than urologists on micro-ultrasonography.,40859774,10.1111/bju.16892,Yes,Yes,Comparative diagnostic study,Comparative office-based cohort,No,Yes,No,No,No,Evidence base remains thin and modality uptake is limited,2,S2_INTERNAL_CLINICAL_VALIDATION,AI_ALONE_VS_CLINICIAN,2
PSMA PET quantification and lesion support,"Johnsson K et al., 2022","Analytical performance of aPROMISE: automated anatomic contextualization, detection, and quantification of [(18)F]DCFPyL (PSMA) imaging for standardized reporting.",34463809,10.1007/s00259-021-05497-8,Yes,Yes,Standardized quantification validation study,Multicentre trial cohort,No,No,Yes,No,No,Limited prospective and outcome-linked evidence,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
PSMA PET quantification and lesion support,"Jafari E et al., 2024",A convolutional neural network-based system for fully automatic segmentation of whole-body [(68)Ga]Ga-PSMA PET images in prostate cancer.,38095671,10.1007/s00259-023-06555-z,Yes,Yes,Multicentre segmentation validation study,Multicentre,No,No,Yes,No,No,Limited prospective and outcome-linked evidence,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,NONE_STAGE_RELEVANT,3
Prostate MRI reader assistance,"Winkel DJ et al., 2021","A Novel Deep Learning Based Computer-Aided Diagnosis System Improves the Accuracy and Efficiency of Radiologists in Reading Biparametric Magnetic Resonance Images of the Prostate: Results of a Multireader, Multicase Study.",33787537,10.1097/RLI.0000000000000780,Yes,Yes,"Multireader, multicase reader-assistance study",Single-centre multireader study,No,Yes,No,No,No,Needs local calibration and pathway-level impact evidence,5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate MRI reader assistance,"Hamm CA et al., 2023",Interactive Explainable Deep Learning Model Informs Prostate Cancer Diagnosis at MRI.,37039688,10.1148/radiol.222276,Yes,Yes,Interactive explainable reader-assistance study,Single-centre multireader study,No,Yes,No,No,No,Needs local calibration and pathway-level impact evidence,5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate MRI reader assistance,"Saha A et al., 2024","Artificial intelligence and radiologists in prostate cancer detection on MRI (PI-CAI): an international, paired, non-inferiority, confirmatory study.",38876123,10.1016/S1470-2045(24)00220-1,Yes,Yes,International paired non-inferiority comparative study,International multicentre,No,Yes,Yes,No,No,Needs local calibration and pathway-level impact evidence,3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_ALONE_VS_CLINICIAN,5
Prostate MRI reader assistance,"Fransen SJ et al., 2025",Patient perspectives on the use of artificial intelligence in prostate cancer diagnosis on MRI.,39143247,10.1007/s00330-024-11012-y,Yes,Yes,Patient-perspectives study,Multicentre survey cohort,No,No,No,No,No,Needs local calibration and pathway-level impact evidence,1,S1_CONTEXT_ONLY_NOT_STAGE_ADVANCING,PATIENT_ACCEPTABILITY_SURVEY,5
Prostate MRI reader assistance,"Twilt JJ et al., 2025",AI-Assisted vs Unassisted Identification of Prostate Cancer in Magnetic Resonance Images.,40512493,10.1001/jamanetworkopen.2025.15672,Yes,Yes,Multicentre comparative reader-assistance study,Multicentre,No,Yes,Yes,No,No,Needs local calibration and pathway-level impact evidence,5,S5_HUMAN_PLUS_AI_OR_SUPERVISED_WORKFLOW_EFFECT,HUMAN_PLUS_AI_VS_HUMAN_ALONE,5
Prostate digital pathology,"Bulten W et al., 2020",Automated deep-learning system for Gleason grading of prostate cancer using biopsies: a diagnostic study.,31926805,10.1016/S1470-2045(19)30739-9,Yes,Yes,Diagnostic study,Multicentre,No,Yes,Yes,No,No,"Scanner, stain, and local workflow calibration remain critical",3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_ALONE_VS_CLINICIAN,5
Prostate digital pathology,"Nagpal K et al., 2020",Development and Validation of a Deep Learning Algorithm for Gleason Grading of Prostate Cancer From Biopsy Specimens.,32701148,10.1001/jamaoncol.2020.2485,Yes,Yes,Development and validation study,Multicentre,No,Yes,Yes,No,No,"Scanner, stain, and local workflow calibration remain critical",3,S3_EXTERNAL_OR_MULTICENTRE_VALIDATION,AI_ALONE_VS_CLINICIAN,5
