Evidence_Type,PMID,PubMed_Language_Values,English_Code_Present,PubMed_Publication_Types,Eligibility_Outcome,Eligibility_Code,Primary_Evidence_Type,Primary_Evidence_Locator,Evidence_Accessed_UTC,Evidence_Snapshot_SHA256,Evidence_Rationale
LANGUAGE_BOUNDARY,31802148,ger,NO,Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/31802148/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,32329274,chi,NO,Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/32329274/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,32821957,ger,NO,Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/32821957/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,33710363,ger,NO,Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/33710363/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,36073216,chi,NO,Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/36073216/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,36729176,ger,NO,English Abstract;Journal Article;Review,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/36729176/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,37198106,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/37198106/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,37462961,chi,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/37462961/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Chinese (chi) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,37850289,rus,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/37850289/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as Russian (rus) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
LANGUAGE_BOUNDARY,38285173,ger,NO,English Abstract;Journal Article,EXCLUDE,E09_DATE_LANGUAGE_INDEXING,PUBMED_XML_METADATA,https://pubmed.ncbi.nlm.nih.gov/38285173/,2026-08-23T01:50:52Z,e218af195c5cba319d2b16e69c1dc25e5f92409f8bbda75332302d915aba94ce,Official PubMed XML metadata lists the publication language as German (ger) and does not include the English language code (eng). The record is therefore excluded under the prespecified English-language eligibility rule; an English-translated NLM title or abstract does not make the publication itself English-language eligible.
