PMID,DOI,First_Author,Year,Title,Journal,Publication_Type,Original_Operational_Analysis_Group,Eligibility_Outcome,Eligibility_Code,Final_Operational_Analysis_Group,Analytic_Set_Decision,Narrative_Context_Status,Trigger_Rule_IDs,Evidence_Level,Eligibility_Rationale
31976600,10.1002/jmri.27060,Krishna S,2020,Role of MRI in Staging of Penile Cancer.,Journal of magnetic resonance imaging : JMRI,Journal Article,Andrology,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Andrology,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Role of MRI in Staging of Penile Cancer' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
32144650,10.1007/s11517-019-02101-y,Ilhan HO,2020,A fully automated hybrid human sperm detection and classification system based on mobile-net and the performance comparison with conventional methods.,Medical & biological engineering & computing,Journal Article,Andrology,INCLUDE,,Andrology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning and machine learning applied to the in-scope task described in 'A fully automated hybrid human sperm detection and classification system based on mobile-net and the performance comparison with conventional methods.'.
32155013,10.5935/1518-0557.20190081,Pedrosa ML,2020,Sperm selection in IVF: the long and winding road from bench to bedside.,JBRA assisted reproduction,Journal Article; Review,Andrology,EXCLUDE,E05_NO_SUBSTANTIVE_AI,Andrology,EXCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,"The available evidence for 'Sperm selection in IVF: the long and winding road from bench to bedside' reports conventional imaging, statistics, digital/AR/VR technology, biomarkers, or automation without a substantive AI/ML method or application."
32240301,10.1093/humrep/deaa013,VerMilyea M,2020,Development of an artificial intelligence-based assessment model for prediction of embryo viability using static images captured by optical light microscopy during IVF.,"Human reproduction (Oxford, England)","Journal Article; Research Support, Non-U.S. Gov't",Andrology,EXCLUDE,E02_EMBRYOLOGY_ONLY,Andrology,EXCLUDE,NOT_CONTEXT_ONLY,SCP02_EMBRYO_ART_WITHOUT_MALE_REPRO,ABSTRACT_OR_METADATA_PLUS_DUAL_HUMAN_REVIEW,AI predicts Day-5 embryo viability from blastocyst images; the task is embryo selection without substantive male-factor relevance.
32538428,10.1093/humrep/deaa109,Zeadna A,2020,Prediction of sperm extraction in non-obstructive azoospermia patients: a machine-learning perspective.,"Human reproduction (Oxford, England)","Journal Article; Research Support, Non-U.S. Gov't",Andrology,INCLUDE,,Andrology,INCLUDE,NOT_CONTEXT_ONLY,AI01_FUTURE_OR_INCIDENTAL_AI_RISK;AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify machine learning applied to the in-scope task described in 'Prediction of sperm extraction in non-obstructive azoospermia patients: a machine-learning perspective.'.
32654105,10.1007/s10815-020-01881-9,Fernandez EI,2020,Artificial intelligence in the IVF laboratory: overview through the application of different types of algorithms for the classification of reproductive data.,Journal of assisted reproduction and genetics,Journal Article; Review,Andrology,INCLUDE,,Andrology,INCLUDE,NOT_CONTEXT_ONLY,SCP02_FEMALE_ART_WITHOUT_MALE_REPRO_EXPANDED,PUBMED_ABSTRACT,The review explicitly evaluates AI applied to semen samples and spermatozoa selection as well as embryo data; it therefore contains a substantive male-reproductive contribution.
32676406,10.21037/tau.2020.03.45,Zhu K,2020,"Acute kidney injury in solitary kidney patients after partial nephrectomy: incidence, risk factors and prediction.",Translational andrology and urology,Journal Article,Andrology,OPERATIONAL_ANALYSIS_GROUP_CORRECTION,C01_OPERATIONAL_ANALYSIS_GROUP_CORRECTION,Renal/Kidney,INCLUDE,NOT_CONTEXT_ONLY,AI03_GENERIC_PREDICTION_WITHOUT_EXPLICIT_AI;AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,PUBMED_ABSTRACT,Solitary-kidney renal-mass cohort after partial nephrectomy; eligible. Its recorded primary search stream was Andrology; its author-verified operational analysis group is Renal/Kidney.
32690677,10.1073/pnas.2001754117,Kandel ME,2020,Reproductive outcomes predicted by phase imaging with computational specificity of spermatozoon ultrastructure.,Proceedings of the National Academy of Sciences of the United States of America,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.",Andrology,INCLUDE,,Andrology,INCLUDE,NOT_CONTEXT_ONLY,AI04_AI_ONLY_PATHWAY_WITHOUT_TITLE_AI,ABSTRACT,The title and available abstract identify deep learning and computer vision applied to the in-scope task described in 'Reproductive outcomes predicted by phase imaging with computational specificity of spermatozoon ultrastructure.'.
32829415,10.1093/humrep/deaa181,Ferrick L,2020,"Metabolic activity of human blastocysts correlates with their morphokinetics, morphological grade, KIDScore and artificial intelligence ranking.","Human reproduction (Oxford, England)","Journal Article; Research Support, Non-U.S. Gov't",Andrology,EXCLUDE,E02_EMBRYOLOGY_ONLY,Andrology,EXCLUDE,NOT_CONTEXT_ONLY,SCP02_EMBRYO_ART_WITHOUT_MALE_REPRO,ABSTRACT_OR_METADATA_PLUS_DUAL_HUMAN_REVIEW,"Embryo-metabolism study; AI-derived embryo ranking is evaluated, but there is no substantive male-factor, sperm, or andrology task."
33167007,10.1093/humrep/deaa259,Zeadna A,2020,Reply: Predicting sperm extraction in non-obstructive azoospermia patients: a machine-learning perspective.,"Human reproduction (Oxford, England)",Comment; Letter,Andrology,INCLUDE,,Andrology,INCLUDE,NOT_CONTEXT_ONLY,DEEP_SCOPE_FULLTEXT_CONFIRMATION,FULL_TEXT,"The reply provides additional model evaluation for sperm-retrieval prediction, including tree depth, hyperparameters, leave-one-out validation, missing-data handling, and ridge-logistic sensitivity analyses with cross-validated AUCs."
