"PMID","DOI","First_Author","Year","Title","Journal","Journal_Abbrev","Publication_Type","Domain_Group","Priority_Translational_Evidence","Priority_Use_Case"
"33167009","10.1093/humrep/deaa258","Boitrelle F","2020","Predicting sperm extraction in non-obstructive azoospermia patients.","Human reproduction (Oxford, England)","Hum Reprod","Comment; Letter","Andrology","No",""
"32753627","10.1038/s41598-020-69857-4","Butola A","2020","High spatially sensitive quantitative phase imaging assisted with deep neural network for classification of human spermatozoa under stressed condition.","Scientific reports","Sci Rep","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32654105","10.1007/s10815-020-01881-9","Fernandez EI","2020","Artificial intelligence in the IVF laboratory: overview through the application of different types of algorithms for the classification of reproductive data.","Journal of assisted reproduction and genetics","J Assist Reprod Genet","Journal Article; Review","Andrology","No",""
"32829415","10.1093/humrep/deaa181","Ferrick L","2020","Metabolic activity of human blastocysts correlates with their morphokinetics, morphological grade, KIDScore and artificial intelligence ranking.","Human reproduction (Oxford, England)","Hum Reprod","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32144650","10.1007/s11517-019-02101-y","Ilhan HO","2020","A fully automated hybrid human sperm detection and classification system based on mobile-net and the performance comparison with conventional methods.","Medical & biological engineering & computing","Med Biol Eng Comput","Journal Article","Andrology","No",""
"32443809","10.3390/diagnostics10050325","Iqbal I","2020","Deep Learning-Based Morphological Classification of Human Sperm Heads.","Diagnostics (Basel, Switzerland)","Diagnostics (Basel)","Journal Article","Andrology","No",""
"32690677","10.1073/pnas.2001754117","Kandel ME","2020","Reproductive outcomes predicted by phase imaging with computational specificity of spermatozoon ultrastructure.","Proceedings of the National Academy of Sciences of the United States of America","Proc Natl Acad Sci U S A","Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S.","Andrology","No",""
"31976600","10.1002/jmri.27060","Krishna S","2020","Role of MRI in Staging of Penile Cancer.","Journal of magnetic resonance imaging : JMRI","J Magn Reson Imaging","Journal Article","Andrology","No",""
"33126127","10.1016/j.compbiomed.2020.104061","Lesani A","2020","Quantification of human sperm concentration using machine learning-based spectrophotometry.","Computers in biology and medicine","Comput Biol Med","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"32516073","10.1097/JU.0000000000001183","Masterson TA","2020","Using Artificial Intelligence to Predict Surgical Shunts in Men with Ischemic Priapism.","The Journal of urology","J Urol","Journal Article","Andrology","No",""
"32155013","10.5935/1518-0557.20190081","Pedrosa ML","2020","Sperm selection in IVF: the long and winding road from bench to bedside.","JBRA assisted reproduction","JBRA Assist Reprod","Journal Article; Review","Andrology","No",""
