"Search_ID","Search_Name","Boolean_Query","Date_From","Date_To"
"Q01","prostate_mri","(""artificial intelligence"" OR ""machine learning"" OR ""deep learning"" OR ""neural network"" OR ""computer vision"" OR ""radiomics"") AND (""prostate MRI"" OR ""prostate magnetic resonance imaging"" OR ""prostate mpMRI"" OR ""PI-RADS"")","2020/01/01","2026/04/04"
"Q02","prostate_pathology","(""artificial intelligence"" OR ""machine learning"" OR ""deep learning"" OR ""neural network"") AND (""prostate pathology"" OR ""prostate biopsy"" OR ""Gleason grading"" OR ""prostate histopathology"" OR ""digital pathology"" OR ""whole slide image"") AND prostate","2020/01/01","2026/04/04"
"Q03","stimulated_raman_histology","(""stimulated Raman histology"" OR ""stimulated Raman scattering"") AND prostate","2020/01/01","2026/04/04"
"Q04","bladder_cystoscopy","(""artificial intelligence"" OR ""deep learning"" OR ""machine learning"" OR ""computer vision"") AND (""cystoscopy"" OR ""bladder cancer"" OR ""urothelial carcinoma"" OR ""TURBT"")","2020/01/01","2026/04/04"
"Q05","psma_pet","(""artificial intelligence"" OR ""deep learning"" OR ""machine learning"" OR ""radiomics"") AND (""PSMA PET"" OR ""PSMA-PET"" OR ""68Ga-PSMA"" OR ""18F-PSMA"" OR ""DCFPyL"")","2020/01/01","2026/04/04"
"Q06","renal_kidney","(""artificial intelligence"" OR ""machine learning"" OR ""deep learning"" OR ""radiomics"") AND (""renal cell carcinoma"" OR ""kidney cancer"" OR ""renal mass"" OR ""nephrometry"")","2020/01/01","2026/04/04"
"Q07","micro_ultrasound","(""artificial intelligence"" OR ""deep learning"") AND (""micro-ultrasound"" OR ""micro ultrasound"" OR ""ExactVu"")","2020/01/01","2026/04/04"
"Q08","uti_triage","(""artificial intelligence"" OR ""machine learning"") AND (""urinary tract infection"" OR ""urine culture"" OR ""antimicrobial stewardship"") AND urinary","2020/01/01","2026/04/04"
"Q09","functional_urology","(""artificial intelligence"" OR ""machine learning"" OR ""deep learning"") AND (""lower urinary tract symptoms"" OR ""overactive bladder"" OR ""functional urology"" OR ""neurourology"" OR ""urodynamics"" OR ""detrusor"" OR ""neurogenic bladder"")","2020/01/01","2026/04/04"
"Q10","surgical_video","(""artificial intelligence"" OR ""deep learning"" OR ""computer vision"") AND (""robotic prostatectomy"" OR ""surgical video"" OR ""robotic surgery"" OR ""surgical skills"" OR ""surgical training"") AND urology","2020/01/01","2026/04/04"
"Q11","semen_analysis","(""artificial intelligence"" OR ""machine learning"" OR ""deep learning"") AND (""semen analysis"" OR ""sperm morphology"" OR ""sperm motility"" OR ""sperm selection"" OR ""ICSI"")","2020/01/01","2026/04/04"
"Q12","male_infertility","(""artificial intelligence"" OR ""machine learning"") AND (""male infertility"" OR ""varicocele"" OR ""azoospermia"" OR ""testicular sperm"")","2020/01/01","2026/04/04"
"Q13","erectile_dysfunction","(""artificial intelligence"" OR ""machine learning"") AND (""erectile dysfunction"" OR ""sexual function"" OR ""sexual medicine"" OR ""penile"")","2020/01/01","2026/04/04"
"Q14","andrology_broad","(""artificial intelligence"" OR ""machine learning"") AND andrology","2020/01/01","2026/04/04"
"Q15","llm_urology","(""large language model"" OR ""ChatGPT"" OR ""GPT-4"" OR ""generative AI"" OR ""DeepSeek"") AND (""urology"" OR ""prostate cancer"" OR ""bladder cancer"" OR ""kidney cancer"" OR ""erectile dysfunction"" OR ""infertility"")","2020/01/01","2026/04/04"
"Q16","rag_scribes","(""retrieval-augmented generation"" OR ""RAG"" OR ""ambient scribe"" OR ""AI documentation"" OR ""AI scribe"") AND (""urology"" OR ""medicine"")","2020/01/01","2026/04/04"
"Q17","reporting_guidelines","(""STREAM-URO"" OR ""TRIPOD+AI"" OR ""TRIPOD-AI"" OR ""PROBAST+AI"" OR ""PROBAST-AI"" OR ""STARD-AI"" OR ""QUADAS-AI"" OR ""DECIDE-AI"" OR ""SPIRIT-AI"" OR ""CONSORT-AI"" OR ""CLAIM"" OR ""FUTURE-AI"") AND ""artificial intelligence""","2020/01/01","2026/04/04"
"Q18","ai_urology_broad","(""artificial intelligence"" OR ""machine learning"" OR ""deep learning"") AND urology AND (review[pt] OR systematic review[pt] OR meta-analysis[pt])","2020/01/01","2026/04/04"
"Q19","ai_urology_implementation","(""artificial intelligence"" OR ""machine learning"") AND urology AND (""implementation"" OR ""deployment"" OR ""clinical practice"" OR ""real-world"")","2020/01/01","2026/04/04"
"Q20","ai_urology_ethics","(""artificial intelligence"") AND urology AND (""ethics"" OR ""bias"" OR ""fairness"" OR ""equity"" OR ""regulation"")","2020/01/01","2026/04/04"
