DOI,PMID,First_Author,Year,Title,Use_Case,In_Analytic_Set,Counted_in_Publication_Totals,Reason_If_Not_Counted
10.1186/s12958-025-01479-9,41299699,Carrion-Sisternas L,2025,Automated AI for real-time sperm selection in ICSI: reducing variability and studying the role of sperm in embryo development.,AI-assisted sperm selection for ICSI,Yes,Yes,
10.1016/j.rbmo.2024.103910,38652944,Goss DM,2024,Evaluation of an artificial intelligence-facilitated sperm detection tool in azoospermic samples for use in ICSI.,AI-assisted sperm selection for ICSI,Yes,Yes,
10.1002/cyto.a.24703,36333835,Noy,2023,Sperm‐cell <scp>DNA</scp> fragmentation prediction using label‐free quantitative phase imaging and deep learning,AI-assisted sperm selection for ICSI,No,No,PubMed-indexed laboratory study cited as contextual exemplar but not retained in the analytic set.
10.1111/bju.16784,40390678,Ong,2025,A pilot study using ambient artificial intelligence scribes in clinical documentation in a urology outpatient clinic,Ambient documentation support,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
10.1007/s00345-024-05399-y,39729119,Robinson EJ,2024,"Physician vs. AI-generated messages in urology: evaluation of accuracy, completeness, and preference by patients and physicians.",Ambient documentation support,Yes,Yes,
10.1016/j.euros.2022.03.009,35638089,Agochukwu-Mmonu N,2022,Development and Validation of Dynamic Multivariate Prediction Models of Sexual Function Recovery in Patients with Prostate Cancer Undergoing Radical Prostatectomy: Results from the MUSIC Statewide Collaborative.,ED and sexual-function outcome prediction,Yes,Yes,
10.1371/journal.pone.0276815,36867616,Hasannejadasl H,2023,Development and external validation of multivariate prediction models for erectile dysfunction in men with localized prostate cancer.,ED and sexual-function outcome prediction,Yes,Yes,
10.1002/nau.24578,33205846,Wang HS,2021,Pattern recognition algorithm to identify detrusor overactivity on urodynamics.,Functional urology and neurourology prediction,Yes,Yes,
10.1097/ju.0000000000003984,38626440,Welk B,2024,Identifying Bladder Phenotypes After Spinal Cord Injury With Unsupervised Machine Learning: A New Way to Examine Urinary Symptoms and Quality of Life.,Functional urology and neurourology prediction,Yes,Yes,
10.1016/j.urology.2024.08.071,39242047,Werneburg GT,2024,External Validation Demonstrates Machine Learning Models Outperform Human Experts in Prediction of Objective and Patient-reported Overactive Bladder Treatment Outcomes.,Functional urology and neurourology prediction,Yes,Yes,
10.1111/bju.16845,40590412,Khattak,2025,Artificial intelligence-driven streamlining of prostate cancer multidisciplinary team recommendations in a tertiary NHS centre,MDT and pathway decision support,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
10.5534/wjmh.210159,35021305,Ory J,2022,Artificial Intelligence Based Machine Learning Models Predict Sperm Parameter Upgrading after Varicocele Repair: A Multi-Institutional Analysis.,Male infertility and sperm-retrieval prediction,Yes,Yes,
10.1111/andr.70114,40916621,Xi Y,2026,Machine learning-based personalized prediction of sperm retrieval in patients with non-obstructive azoospermia prior to microdissection testicular sperm extraction: A multi-center cohort study.,Male infertility and sperm-retrieval prediction,Yes,Yes,
10.1111/bju.16892,40859774,Zhou SR,2025,ProMUS-NET: Artificial intelligence detects more prostate cancer than urologists on micro-ultrasonography.,Micro-ultrasound lesion localization,Yes,Yes,
10.1007/s00259-023-06555-z,38095671,Jafari E,2024,A convolutional neural network-based system for fully automatic segmentation of whole-body [(68)Ga]Ga-PSMA PET images in prostate cancer.,PSMA PET quantification and lesion support,Yes,Yes,
10.1007/s00259-021-05497-8,34463809,Johnsson K,2022,"Analytical performance of aPROMISE: automated anatomic contextualization, detection, and quantification of [(18)F]DCFPyL (PSMA) imaging for standardized reporting.",PSMA PET quantification and lesion support,Yes,Yes,
10.1007/s00259-023-06108-4,36650356,Lindgren Belal,2023,Automated quantification of PET/CT skeletal tumor burden in prostate cancer using artificial intelligence: The PET index,PSMA PET quantification and lesion support,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
10.1007/s00330-024-11012-y,39143247,Fransen SJ,2025,Patient perspectives on the use of artificial intelligence in prostate cancer diagnosis on MRI.,Prostate MRI reader assistance,Yes,Yes,
10.1148/radiol.222276,37039688,Hamm CA,2023,Interactive Explainable Deep Learning Model Informs Prostate Cancer Diagnosis at MRI.,Prostate MRI reader assistance,Yes,Yes,
10.1016/s1470-2045(24)00220-1,38876123,Saha A,2024,"Artificial intelligence and radiologists in prostate cancer detection on MRI (PI-CAI): an international, paired, non-inferiority, confirmatory study.",Prostate MRI reader assistance,Yes,Yes,
10.1001/jamanetworkopen.2025.15672,40512493,Twilt JJ,2025,AI-Assisted vs Unassisted Identification of Prostate Cancer in Magnetic Resonance Images.,Prostate MRI reader assistance,Yes,Yes,
10.1097/rli.0000000000000780,33787537,Winkel DJ,2021,"A Novel Deep Learning Based Computer-Aided Diagnosis System Improves the Accuracy and Efficiency of Radiologists in Reading Biparametric Magnetic Resonance Images of the Prostate: Results of a Multireader, Multicase Study.",Prostate MRI reader assistance,Yes,Yes,
10.1038/s41467-025-66593-z,41276524,Wu,2025,"Automated MRI system for clinically significant prostate cancer detection: development, validation, and real-world implementation",Prostate MRI reader assistance,No,No,Contextual PubMed-indexed exemplar not counted in the final analytic set.
10.1016/s1470-2045(19)30739-9,31926805,Bulten W,2020,Automated deep-learning system for Gleason grading of prostate cancer using biopsies: a diagnostic study.,Prostate digital pathology,Yes,Yes,
10.1038/s41379-020-0640-y,32759979,Bulten W,2021,Artificial intelligence assistance significantly improves Gleason grading of prostate biopsies by pathologists.,Prostate digital pathology,Yes,Yes,
10.1200/cci-24-00193,40036728,Flach RN,2025,Prospective Clinical Implementation of Paige Prostate Detect Artificial Intelligence Assistance in the Detection of Prostate Cancer in Prostate Biopsies: CONFIDENT P Trial Implementation of Artificial Intelligence Assistance in Prostate Cancer Detection.,Prostate digital pathology,Yes,Yes,
10.1001/jamaoncol.2020.2485,32701148,Nagpal K,2020,Development and Validation of a Deep Learning Algorithm for Gleason Grading of Prostate Cancer From Biopsy Specimens.,Prostate digital pathology,Yes,Yes,
10.1016/s2589-7500(20)30159-x,33328045,Pantanowitz L,2020,An artificial intelligence algorithm for prostate cancer diagnosis in whole slide images of core needle biopsies: a blinded clinical validation and deployment study.,Prostate digital pathology,Yes,Yes,
