Domain_Group,total_records,original_records,review_records,commentary_records,non_original_records,review_pct,commentary_pct,non_original_pct,review_per_100_original
Broad Reviews,367,69,298,0,298,81.2,0.0,81.2,431.9
Andrology,264,211,40,13,53,15.2,4.9,20.1,19.0
Surgical AI,34,28,5,1,6,14.7,2.9,17.6,17.9
Governance,411,331,59,21,80,14.4,5.1,19.5,17.8
Prostate Imaging,569,473,76,20,96,13.4,3.5,16.9,16.1
Prostate Pathology,326,288,30,8,38,9.2,2.5,11.7,10.4
Bladder Cancer,439,396,31,12,43,7.1,2.7,9.8,7.8
Benign/Functional,184,169,9,6,15,4.9,3.3,8.2,5.3
Renal/Kidney,541,508,24,9,33,4.4,1.7,6.1,4.7
LLMs & GenAI,217,168,7,42,49,3.2,19.4,22.6,4.2
