Rank,Journal,Included_Record_Count
1,Frontiers in oncology,117
2,Cancers,98
3,Scientific reports,94
4,European radiology,69
5,Abdominal radiology (New York),65
6,"Diagnostics (Basel, Switzerland)",55
7,World journal of urology,53
8,Journal of magnetic resonance imaging : JMRI,45
9,Academic radiology,36
10,BJU international,32
11,Current opinion in urology,31
12,European journal of radiology,30
13,European urology focus,29
14,Journal of clinical medicine,29
15,European journal of nuclear medicine and molecular imaging,28
16,Computers in biology and medicine,27
17,BMC cancer,26
18,"International journal of surgery (London, England)",26
19,Translational andrology and urology,25
20,Insights into imaging,24
21,The Journal of urology,24
22,Medical physics,23
23,Journal of endourology,22
24,BMC medical imaging,21
25,Neurourology and urodynamics,21
