Domain_Group,total_records,original_records,review_records,commentary_records,non_original_records,review_pct,commentary_pct,non_original_pct,review_per_100_original
Broad Reviews,378,74,304,0,304,80.4,0.0,80.4,410.8
Andrology,270,217,40,13,53,14.8,4.8,19.6,17.4
Governance,431,347,62,22,84,14.4,5.1,19.5,16.8
Surgical AI,36,30,5,1,6,13.9,2.8,16.7,16.1
Prostate Imaging,579,483,76,20,96,13.1,3.5,16.6,15.1
Prostate Pathology,330,291,31,8,39,9.4,2.4,11.8,10.4
Bladder Cancer,440,397,31,12,43,7.0,2.7,9.8,7.6
Benign/Functional,188,172,10,6,16,5.3,3.2,8.5,5.6
Renal/Kidney,541,508,24,9,33,4.4,1.7,6.1,4.6
LLMs & GenAI,232,179,7,46,53,3.0,19.8,22.8,3.1
